animal_id,Pit,sex,age,date,svl,tail-length,body-mass,feeding
228,4B21157739,F,NA,13-May-16,27.8,39.2,1090,moderate
8,41390C3B64,F,NA,22-May-16,26.7,37.5,913,moderate
137,452F0D1240,F,NA,22-May-16,26.3,38.0,795,moderate
243,4B1736286F,F,NA,22-May-16,23.1,22.0,405,moderate
373,9.89001E+14,F,NA,22-May-16,14.8,22.0,110,moderate
414,9.89001E+14,F,NA,22-May-16,14.6,24.2,155,moderate
146,452E717F60,F,NA,17-Jun-16,27.5,36.7,NA,moderate
228,4B21157739,F,NA,17-Jun-16,27.5,40.0,960,moderate
237,4B2200767D,F,NA,07-Sep-16,27.8,37.1,905,moderate
136,4534786928,F,NA,14-May-17,NA,NA,NA,moderate
183,4919710D63,F,NA,14-May-17,NA,NA,NA,moderate
206,4B211F7A76,F,NA,14-May-17,NA,NA,735,moderate
168,491A1D3348,F,NA,23-Apr-18,29,39.8,1105,moderate
193,4B1E086C25,F,NA,23-Apr-18,23.5,34.3,590,moderate
206,4B211F7A76,F,NA,23-Apr-18,26.3,37.5,760,moderate
366,9.85121E+14,F,NA,23-Apr-18,24.2,34.6,605,moderate
228,4B21157739,F,NA,24-Apr-18,29.6,42.8,1290,moderate
11,413903685C,F,NA,13-May-18,30.2,41.3,1450,moderate
339,9.85121E+14,F,NA,13-May-18,23.4,17.9,470,moderate
364,4B21344C16,F,NA,13-May-18,20.4,29.0,420,moderate
31,5020165301,F,NA,21-May-18,23.5,32.2,360,moderate
54,42640A7314,F,NA,21-May-18,24.7,34.6,510,moderate
399,9.89001E+14,F,NA,21-May-18,22.1,30.1,490,moderate
54,42640A7314,F,NA,12-Jun-19,DEAD,DEAD,DEAD,moderate
52,501F6D5422,F,NA,04-Jun-01,23.5,32.4,530,moderate
61,4306007537,F,NA,05-Jun-01,23,33.0,500,moderate
62,4263764D0F,F,NA,05-Jun-01,22.4,34.6,590,moderate
46,42644B2A03,F,NA,29-May-02,27.8,26.5/30.6,790,moderate
74,50201F494E,F,NA,29-May-02,22.9,31.6,670,moderate
98,4414294A3B,F,NA,28-May-03,24.6/24.6,30.7,620,moderate
103,44295C517C,F,NA,29-May-03,24.0/23.6,34.1,490,moderate
107,44293A3735,F,NA,29-May-03,21.4/21.0,31.6,400,moderate
129,45335D6A7F,F,NA,28-May-05,27.9,40.9,850,moderate
137,452F0D1240,F,NA,04-Jun-05,26,38.9,890,moderate
59,501F776B48,F,NA,27-May-06,28.1,41.8,1070,moderate
161,NA,F,NA,04-Jun-06,28.8,41.8,890,moderate
184,06904491A,F,NA,02-Jun-07,28.4/27.1,38.6/37.7,920,moderate
185,49172E2522,F,NA,03-Jun-07,25.7/25.6,36.5/35.9,770,moderate
205,4B1E0D4141,F,NA,25-May-08,26.4,31.8,720,moderate
244,4B166F5629,F,NA,24-May-09,21.4,24.2,380,moderate
306,9.85121E+14,F,NA,17-May-12,22.1,24.6/25.5,490,moderate
324,9.85121E+14,F,NA,17-May-12,23.3,32.0,590,moderate
333,9.85121E+14,F,NA,21-May-12,25.2,36.6,770,moderate
348,9.85121E+14,F,NA,25-May-12,18.8,27.4,290,moderate
351,9.85121E+14,F,NA,25-May-12,26,36.6,700,moderate
440,9.89001E+14,F,NA,24-Apr-18,24.2,35.9,595,moderate
282,4B21297303,F,NA,05-Sep-18,26.3,29.4/?,700,moderate
481,9.82E+14,F,NA,05-Sep-18,23.3,34.9,640,moderate
483,9.82E+14,F,NA,05-Sep-18,22.6,31.6,490,moderate
488,9.82E+14,F,NA,05-Sep-18,20.8,29.6,385,moderate
127,452F18024A,F,NA,10-Jun-19,22.2,29.4,395,moderate
292,9.85121E+14,F,NA,10-Jun-19,25.1,33.5,600,moderate
505,9.82126E+14,F,NA,10-Jun-19,22,30.9,430,moderate
510,9.82126E+14,F,NA,10-Jun-19,23.6,34.5,495,moderate
