animal_id,Island
159A,UCay
159B,UCay
160A,UCay
160B,UCay
161A,UCay
161B,UCay
162A,UCay
162B,UCay
163A,UCay
164A,UCay
164B,UCay
165A,UCay
165B,UCay
165C,UCay
166A,UCay
166B,UCay
166C,UCay
167A,UCay
168A,UCay
168B,UCay
169A,UCay
169B,UCay
170A,UCay
170B,UCay
170C,UCay
171A,UCay
171B,UCay
172A,UCay
172B,UCay
172C,UCay
173A,UCay
173B,UCay
174A,UCay
174B,UCay
175A,UCay
175B,UCay
176A,UCay
176B,UCay
178A,UCay
178B,UCay
179A,UCay
179B,UCay
181A,UCay
181B,UCay
182A,UCay
183A,UCay
183B,UCay
184A,UCay
184B,UCay
185A,UCay
185B,UCay
186A,UCay
186B,UCay
187A,UCay
187B,UCay
"""187B""",UCay
181/7,UCay
188A,UCay
188B,UCay
188C,UCay
189A,UCay
189B,UCay
190A,UCay
190B,UCay
191A,UCay
191B,UCay
192A,UCay
192B,UCay
193A,UCay
193B,UCay
194A,UCay
194B,UCay
195A,UCay
195B,UCay
196A,UCay
196B,UCay
197A,UCay
197B,UCay
198A,UCay
198B,UCay
199A,UCay
WRD,UCay
3LG,UCay
1/7A,LeafCay
1/8A,LeafCay
1/9A,LeafCay
1/0B,LeafCay
2C,LeafCay
2D,LeafCay
2/6B,LeafCay
2/7A,LeafCay
2/8A,LeafCay
3D,LeafCay
3E,LeafCay
3F,LeafCay
3G,LeafCay
3/6A,LeafCay
3/8A,LeafCay
3/9A,LeafCay
3/9B,LeafCay
3/9C,LeafCay
3/0A,LeafCay
3/0B,LeafCay
3/0C,LeafCay
4D,LeafCay
4/7A,LeafCay
4/8A,LeafCay
4/9A,LeafCay
4/0D,LeafCay
4/0E,LeafCay
5/6A,LeafCay
5/7A,LeafCay
5/9A,LeafCay
6D,LeafCay
7/0B,LeafCay
8C,LeafCay
9D,LeafCay
9E,LeafCay
9/0A,LeafCay
0A,LeafCay
0B,LeafCay
10/30A,LeafCay
10/80A,LeafCay
10/90A,LeafCay
10/90B,LeafCay
10/0A,LeafCay
10/0C,LeafCay
11C,LeafCay
11E,LeafCay
11/6A,LeafCay
11/7A,LeafCay
11/8A,LeafCay
11/8B,LeafCay
11/9B,LeafCay
11/0C,LeafCay
11/0D,LeafCay
12C,LeafCay
12D,LeafCay
12F,LeafCay
12/6A,LeafCay
12/7B,LeafCay
12/7C,LeafCay
12/8A,LeafCay
12/0A,LeafCay
12/0B,LeafCay
13C,LeafCay
13D,LeafCay
13E,LeafCay
13F,LeafCay
13/7B,LeafCay
13/8B,LeafCay
13/9A,LeafCay
13/0A,LeafCay
13/0B,LeafCay
14B,LeafCay
14D,LeafCay
14E,LeafCay
14F,LeafCay
14/6B,LeafCay
14/7A,LeafCay
14/8A,LeafCay
14/8B,LeafCay
14/8C,LeafCay
14/8D,LeafCay
14/9A,LeafCay
14/9C,LeafCay
14/9D,LeafCay
14/0A,LeafCay
14/0B,LeafCay
15B,LeafCay
15C,LeafCay
15D,LeafCay
15E,LeafCay
15/6A,LeafCay
15/7C,LeafCay
15/8A,LeafCay
15/9B,LeafCay
15/0A,LeafCay
15/0B,LeafCay
16F,LeafCay
16/0A,LeafCay
16/0B,LeafCay
17B,LeafCay
17D,LeafCay
17E,LeafCay
17F,LeafCay
17/0A,LeafCay
17/0B,LeafCay
18D,LeafCay
18E,LeafCay
18/0A,LeafCay
18/0B,LeafCay
18/0C,LeafCay
19C,LeafCay
19D,LeafCay
19E,LeafCay
19F,LeafCay
19/0B,LeafCay
19/0C,LeafCay
20H,LeafCay
20/30A,LeafCay
20/60A,LeafCay
20/60B,LeafCay
20/70A,LeafCay
20/80A,LeafCay
20/90A,LeafCay
21E,LeafCay
21/7A,LeafCay
21/0B,LeafCay
21/0C,LeafCay
22D,LeafCay
22F,LeafCay
22G,LeafCay
22/7A,LeafCay
22/9A,LeafCay
22/9B,LeafCay
22/9C,LeafCay
22/0A,LeafCay
22/0C,LeafCay
23B,LeafCay
23C,LeafCay
23D,LeafCay
23/6B,LeafCay
23/7A,LeafCay
23/8A,LeafCay
23/9A,LeafCay
23/0A,LeafCay
24D,LeafCay
24F,LeafCay
24/6B,LeafCay
24/0B,LeafCay
25C,LeafCay
25F,LeafCay
25G,LeafCay
25/6A,LeafCay
25/6B,LeafCay
25/7A,LeafCay
25/7B,LeafCay
25/8A,LeafCay
25/8B,LeafCay
25/9A,LeafCay
25/9B,LeafCay
26C,LeafCay
26D,LeafCay
26E,LeafCay
26F,LeafCay
27C,LeafCay
27D,LeafCay
27F,LeafCay
27/0A,LeafCay
28B,LeafCay
28D,LeafCay
28E,LeafCay
28/0A,LeafCay
29C,LeafCay
29D,LeafCay
29E,LeafCay
30G,LeafCay
30H,LeafCay
30/60A,LeafCay
30/70A,LeafCay
30/80A,LeafCay
30/80B,LeafCay
30/90A,LeafCay
30/90B,LeafCay
30/0C,LeafCay
31A,LeafCay
31C,LeafCay
31D,LeafCay
31/7B,LeafCay
31/8A,LeafCay
31/8B,LeafCay
31/9A,LeafCay
31/9B,LeafCay
31/0B,LeafCay
31/0C,LeafCay
32B,LeafCay
32D,LeafCay
32/7B,LeafCay
32/8B,LeafCay
32/8C,LeafCay
32/9A,LeafCay
32/9B,LeafCay
33C,LeafCay
34A,LeafCay
34D,LeafCay
34E,LeafCay
34/0A,LeafCay
35C,LeafCay
35D,LeafCay
35/9B,LeafCay
35/0A,LeafCay
36C,LeafCay
36D,LeafCay
36/0A,LeafCay
37C,LeafCay
37E,LeafCay
38D,LeafCay
38/0A,LeafCay
39D,LeafCay
39/0B,LeafCay
40B,LeafCay
40/70A,LeafCay
40/80A,LeafCay
40/80B,LeafCay
40/90A,LeafCay
40/0C,LeafCay
41B,LeafCay
41C,LeafCay
41D,LeafCay
41E,LeafCay
41/7A,LeafCay
41/7B,LeafCay
41/9A,LeafCay
41/9B,LeafCay
41/0B,LeafCay
42C,LeafCay
42D,LeafCay
42E,LeafCay
42/8A,LeafCay
42/8B,LeafCay
42/9B,LeafCay
42/0A,LeafCay
43A,LeafCay
43B,LeafCay
