animal_id,sex,age,date,svl,tail-length,body-mass,feeding,,,,
11/8A,male,NA,5/13/10,20,28.7,312,high,,,,
11/8A,male,NA,5/19/16,24.2,32.5,568,high,,,,
11/8A,male,NA,5/14/17,25.8,33.9,640,high,,,,
11/8A,male,NA,6/4/18,28.6,35.6,805,high,,,,
11/8A,male,NA,9/3/18,27.1,37.9,880,high,,,,
11/8A,male,NA,5/17/19,29.5,39,1085,high,,,,
11/8B,female,10.7,5/19/16,26.1,35.1,545,high,,,,
11/8B,female,13.7,5/23/19,26.1,35.7,645,high,,,,
11/9B,female,4.7,5/15/10,17.1,24.6,174,high,,,,
11/0C,female,NA,5/19/16,23.5,32.3,533,high,,,,
11/0C,female,NA,5/14/17,24.5,32.7,495,high,,,,
11/0C,female,NA,9/3/18,24.2,33.3,565,high,,,,
11/0C,female,NA,5/17/19,25.1,34,600,high,,,,
11/0D,male,4.7,5/19/16,17.6,24.5,230,high,,,,
11/0D,male,5.7,5/16/17,19.1,27.1,290,high,,,,
11/0D,male,6.7,6/1/18,21,30.8,460,high,,,,
11/0D,male,6.9,9/3/18,22.9,32.2,485,high,,,,
11/0D,male,7.7,5/17/19,23.7,33.5,580,high,,,,
12C,male,NA,6/22/01,26.5,33.4,NA,high,,,,
12C,male,NA,6/17/02,26.1,33.3,590,high,,,,
12C,male,NA,5/19/03,26.6,33.5,633,high,,,,
12D,female,NA,5/15/02,30.6,NA,985,high,,,,
12D,female,NA,5/15/03,31.1,NA,1041,high,,,,
12D,female,NA,5/13/04,30.7,NA,710,high,,,,
12F,male,1.7,6/1/18,12.3,17.4,86,high,,,,
12/6A,female,2.7,5/13/10,14.8,21.1,125,high,,,,
12/6A,female,3.7,5/16/11,16.3,23.5,165,high,,,,
12/6A,female,7.7,5/17/15,23,31.6,445,high,,,,
12/6A,female,8.7,5/19/16,22.5,31.9,450,high,,,,
12/6A,female,9.7,5/14/17,24,33.1,400,high,,,,
12/6A,female,11.7,5/18/19,26,35.2,730,high,,,,
12/7B,male,NA,5/19/11,28.5,37.1,887,high,,,,
12/7B,male,NA,5/20/16,32.1,37.5,1160,high,,,,
12/7B,male,NA,5/17/17,32.3,NA,1035,high,,,,
12/7C,female,NA,5/16/13,23.8,32.7,480,high,,,,
12/7C,female,NA,6/1/18,28.7,38.7,1060,high,,,,
12/8A,female,3.7,5/14/10,16.9,22.8,184,high,,,,
12/8A,female,6.7,5/18/13,21.2,28.7,367,high,,,,
12/8A,female,8.7,5/18/15,23.3,31.4,500,high,,,,
12/8A,female,9.7,5/20/16,24,32.6,525,high,,,,
12/0A,female,7.5,3/22/96,21.6,29.4,360,high,,,,
12/0A,female,11.5,3/20/00,26.5,34,770,high,,,,
12/0A,female,12.7,5/9/01,27.5,34.8,800,high,,,,
12/0A,female,13.7,5/15/02,28.2,36.1,998,high,,,,
12/0B,male,NA,5/15/02,34.5,44,1475,high,,,,
12/0B,male,NA,5/12/04,35.7,45.6,1745,high,,,,
12/0B,male,NA,5/13/05,36.2,45.2,1895,high,,,,
12/0B,male,NA,5/12/08,40,46.8,2590,high,,,,
13C,male,2.8,6/22/01,14.8,20.5,NA,high,,,,
13C,male,3.7,5/16/02,15.8,22,125,high,,,,
13D,female,NA,6/18/02,23.2,30.4,430,high,,,,
13E,female,5.8,6/25/02,19.1,27.3,295,high,,,,
13E,female,7.7,5/12/04,22,30,391,high,,,,
13E,female,12.7,5/18/09,25.3,34.4,605,high,,,,
13E,female,14.7,5/16/11,26.1,35.1,705,high,,,,
13E,female,18.7,5/18/15,26.3,35.4,643,high,,,,
13E,female,19.7,5/20/16,26.4,35.5,643,high,,,,
13E,female,22.7,5/17/19,26.4,35.2,510,high,,,,
13F,male,NA,5/19/16,20.5,28.7,360,high,,,,
13F,male,NA,5/17/17,21.2,29.9,387,high,,,,
13/7B,female,4.7,5/19/11,17.3,23.9,180,high,,,,
13/7B,female,9.7,5/18/16,19,26.4,297,high,,,,
13/8B,female,2.7,5/19/11,14.5,20.9,95,high,,,,
13/8B,female,7.7,5/19/16,21.5,30.7,415,high,,,,
13/8B,female,8.7,5/14/17,23.1,32.1,550,high,,,,
13/8B,female,9.9,9/3/18,24,34.7,650,high,,,,
13/8B,female,10.7,5/18/19,25.9,35.4,785,high,,,,
13/9A,female,2.7,5/16/11,15.2,22.2,125,high,,,,
13/9A,female,4.7,5/17/13,20.8,29.8,328,high,,,,
13/9A,female,6.7,5/17/15,24.3,34,505,high,,,,
13/9A,female,7.7,5/19/16,26.3,35.9,690,high,,,,
13/9A,female,8.7,5/16/17,29.6,39.7,1075,high,,,,
13/9A,female,9.7,6/4/18,33.8,43,1440,high,,,,
13/9A,female,9.9,9/2/18,33.8,38.5,1580,high,,,,
13/0A,female,6.5,3/22/96,21,28.1,355,high,,,,
13/0A,female,7.7,5/16/02,23.5,31.6,381,high,,,,
13/0A,female,9.7,5/12/04,23.5,31.5,440,high,,,,
13/0A,female,10.7,5/15/05,24.3,30.8,574,high,,,,
13/0A,female,13.7,5/16/08,26.1,33,610,high,,,,
13/0A,female,14.7,5/18/09,27.5,34.3,725,high,,,,
13/0B,male,3.7,5/17/02,15.7,21.4,173,high,,,,
13/0B,male,19.7,6/1/18,32.6,40.8,1625,high,,,,
14B,female,NA,3/20/88,27.31,37.78,835,high,,,,
14B,female,NA,3/23/90,28.26,38.74,880,high,,,,
14B,female,NA,3/21/92,29.21,39.37,1070,high,,,,
14B,female,NA,3/19/94,30.2,39,1120,high,,,,
14B,female,NA,3/13/98,30.5,40.6,1160,high,,,,
14B,female,NA,3/20/00,31.2,39.8,1165,high,,,,
14B,female,NA,5/13/01,31.8,40.3,1285,high,,,,
14B,female,NA,5/17/02,32,40.7,1370,high,,,,
14B,female,NA,6/26/02,NA,NA,1375,high,,,,
14B,female,NA,5/13/04,32.1,41,1265,high,,,,
14D,female,NA,6/26/02,23.5,31.6,NA,high,,,,
14E,female,NA,5/17/15,26,34.6,590,high,,,,
14E,female,NA,5/19/16,26,33.5,635,high,,,,
14F,female,NA,5/19/16,24.4,33,593,high,,,,
14/6B,female,0.7,5/19/11,9.8,14.1,30,high,,,,
14/6B,female,4.7,5/18/15,17.2,24.9,315,high,,,,
14/6B,female,5.7,5/19/16,18.8,25.7,258,high,,,,
14/6B,female,6.7,5/14/17,19.6,27,291,high,,,,
14/6B,female,8.7,5/18/19,22.5,31.5,520,high,,,,
14/7A,female,3.7,5/16/11,16.3,21.5,125,high,,,,
14/7A,female,5.7,5/17/13,23.5,31.8,530,high,,,,
14/8A,male,NA,5/16/11,26.5,35.9,740,high,,,,
14/8A,male,NA,5/17/13,29.3,39.6,950,high,,,,
14/8A,male,NA,5/18/15,32.7,42.6,1238,high,,,,
14/8A,male,NA,6/23/16,33.3,44.6,1520,high,,,,
14/8A,male,NA,9/2/16,33.5,44.5,1600,high,,,,
14/8A,male,NA,5/14/17,35,44.9,1700,high,,,,
14/8A,male,NA,5/23/19,37.7,47.6,2380,high,,,,
14/8B,male,3.7,5/19/11,16.7,23.6,160,high,,,,
14/8B,male,5.7,5/21/13,19.3,26.6,242,high,,,,
14/8B,male,8.7,5/17/16,33.9,43.5,1525,high,,,,
14/8C,female,NA,5/17/13,27.3,33.3,797,high,,,,
14/8C,female,NA,5/22/15,27.6,32.5,659,high,,,,
14/8C,female,NA,5/20/16,26.8,32.7,642,high,,,,
14/8D,male,3.7,5/19/11,16.6,23,155,high,,,,
14/8D,male,7.7,5/22/15,21.6,29.1,285,high,,,,
14/8D,male,8.7,5/20/16,21.9,30.2,390,high,,,,
14/8D,male,11.7,5/23/19,27.8,36.2,900,high,,,,
14/9A,female,4.7,5/16/11,17.4,24.8,200,high,,,,
14/9A,female,6.7,5/16/13,21.5,30.9,350,high,,,,
14/9A,female,8.7,5/17/15,24.7,34.1,546,high,,,,
14/9A,female,9.7,5/18/16,25,34.2,610,high,,,,
14/9A,female,9.8,6/23/16,25.4,34.5,575,high,,,,
14/9A,female,9.9,9/8/16,25,34.2,505,high,,,,
14/9A,female,10.7,5/16/17,26.1,35,550,high,,,,
14/9A,female,12.7,5/23/19,25.9,35.2,685,high,,,,
14/9C,male,NA,5/16/13,23,29.7,400,high,,,,
14/9C,male,NA,5/18/19,27.4,35,793,high,,,,
14/9D,male,NA,5/18/15,25.6,34.8,665,high,,,,
14/9D,male,NA,5/19/16,30.7,38.5,1125,high,,,,
14/9D,male,NA,9/2/16,31.7,39.3,1300,high,,,,
14/9D,male,NA,5/14/17,35.5,41.8,1835,high,,,,
14/9D,male,NA,6/1/18,36.8,45,1450,high,,,,
14/9D,male,NA,9/2/18,38.2,45,2610,high,,,,
14/9D,male,NA,5/23/19,40,46.8,2930,high,,,,
14/0A,male,5.5,3/22/96,19,25.7,245,high,,,,
14/0A,male,9.5,3/20/00,26.5,36.3,785,high,,,,
14/0A,male,10.7,5/9/01,30.5,40,1180,high,,,,
14/0A,male,11.7,5/15/02,33,42.3,1375,high,,,,
14/0A,male,12.7,5/17/03,35.7,44.5,1952,high,,,,
14/0A,male,13.7,5/12/04,39,45.4,2473,high,,,,
14/0A,male,14.7,5/13/05,41,48.8,2957,high,,,,
14/0B,female,NA,5/15/02,29.5,39.7,950,high,,,,
14/0B,female,NA,5/14/05,30,39.2,632,high,,,,
15B,male,6.5,3/12/93,21,27.6,371,high,,,,
15B,male,7.5,3/19/94,22,29,430,high,,,,
15B,male,9.5,3/22/96,23.4,32.8,580,high,,,,
15B,male,11.5,3/11/98,27,35.8,810,high,,,,
15B,male,13.5,3/20/00,31,40,1290,high,,,,
15B,male,14.7,5/10/01,33.2,41.4,1495,high,,,,
15B,male,15.7,5/16/02,34,42.2,1555,high,,,,
15B,male,16.7,5/15/03,35,43.8,1920,high,,,,
15B,male,17.7,5/12/04,36.5,44,2035,high,,,,
15B,male,18.7,5/14/05,39,44.2,2337,high,,,,
15C,female,7.5,3/21/96,21.8,28.8,380,high,,,,
15C,female,11.5,3/20/00,26,33.5,737,high,,,,
15C,female,12.7,5/10/01,28,34.6,863,high,,,,
